Video ID,Video Title,Published Date,Published Time,Views Count,Comments Count,Likes Count,Hashtags,Is Private
hFM4ZhOvQmI,"India, Pakistan, Australia & England: Strengths & weaknesses analyzed I 2022 T20 World Cup Preview",2022-10-21,01:30:10Z,216308,652,5255,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs', '2022 World Cup', 'T20 World Cup', 'India', 'Rohit Sharma', 'Virat Kohli', 'Jasprit Bumrah', 'Pakistan', 'Babar Azam', 'Shaheen Afridi', 'England', 'Jos Buttler', 'Jofra Archer', 'Steve Smith']",False
xTlh_2kOVDY,How will we look back on Aaron Finch's career once it's all said and done? | Turning Points,2022-10-22,06:00:14Z,8997,14,281,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs']",False
gN_tYrp1XiI,"Kohli, Root, Babar, Cummins, Bumrah: Australia's best pick their TOP 5 current players | Fox Cricket",2022-11-15,05:30:10Z,1718371,2891,40747,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs', 'Top 5', 'Virat Kohli', 'Babar Azam', 'Steve Smith', 'India', 'Pakistan', 'Pat Cummins', 'Joe Root', 'Jos Buttler', 'Ben Stokes', 'Ravindra Jadeja', 'Glenn Maxwell', 'Marnus Labuschagne', 'Nathan Lyon', 'Aaron Finch', 'Cameron Green']",False
S4gmAzxJ3Bk,Mic'd Up | David Warner scores 75 against the West Indies,2022-11-17,05:00:20Z,74063,36,1561,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs', 'T20i', 'T20 Cricket', 'David Warner', 'IPL', 'World Cup']",False
OVafwiQ_x-Q,Mic'd Up | Alex Carey keeps wicket against England,2022-11-19,01:45:00Z,61366,24,1176,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs']",False
prtBA5Ddt80,Mic'd Up | Pat Cummins sets an aggressive field against the West Indies,2022-11-20,05:00:19Z,68431,67,1562,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs', 'T20i', 'T20 Cricket', 'Micd Up', 'Cummins', 'IPL', 'World Cup']",False
2KvY2bMWAa4,Mic'd Up | Finch guides Australia against England in Canberra,2022-11-22,05:00:00Z,44389,33,986,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs', 'T20i', 'T20 Cricket', 'World Cup']",False
kkPOYDkVqIo,A Day Two of milestones for Marnus and Smith,2022-12-01,19:00:11Z,9457,29,369,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs', 'Test Cricket', 'Don Bradman', 'Cricket history', 'Cricket Stats', 'All-time Cricketers', 'GOAT cricket', 'Gilly']",False
Ihxbfx6eFv8,Behind the scenes: Howie explains everything that goes into a Fox Cricket Test match broadcast!,2022-12-02,05:36:46Z,43348,68,1200,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs']",False
skwr29y-2p4,Best Aussie bowling attack: Shane Warne & Glenn McGrath vs. Pat Cummins & Nathan Lyon | FOX Cricket,2022-12-03,06:06:03Z,16799,81,288,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs']",False
58ICtDiDhWc,Mic'd Up | Steve Smith in the slips against the West Indies,2022-12-03,01:13:32Z,131504,85,2638,"['fox cricket', 'cricket', 'fox sports australia', 'australia', 'aus', 'fox sports aus', 'bbl', 'big bash', 'big bash league', 'wbbl', 'Tests', 'ODI', 'ODIs']",False
