Serial,Event,Code Province,Code District,Code Division,Date (YMD),Duration (d),Deaths,Injured,Missing,Houses Destroyed,Houses Damaged,Victims,Affected,Relocated,Evacuated,Losses $USD,Losses $Local,Education centers,Hospitals,Damages in crops Ha.,Lost Cattle,Damages in roads Mts
FL2010,FLOOD,lka001,lka001002,lka001002018,23/10/2010,0,0.0,0.0,0.0,0.0,0,0,1746,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002018,23/10/2010,0,0.0,0.0,0.0,0.0,0,0,54,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002018,23/10/2010,0,0.0,0.0,0.0,0.0,0,0,564,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002018,23/10/2010,0,0.0,0.0,0.0,0.0,0,0,324,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002018,23/10/2010,0,0.0,0.0,0.0,0.0,0,0,1784,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002018,23/10/2010,0,0.0,0.0,0.0,0.0,1,0,332,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002018,23/10/2010,0,0.0,0.0,0.0,0.0,0,0,2004,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002018,23/10/2010,0,0.0,0.0,0.0,0.0,0,0,33,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002018,23/10/2010,0,0.0,0.0,0.0,0.0,0,0,241,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002018,23/10/2010,0,0.0,0.0,0.0,0.0,0,0,263,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002018,23/10/2010,0,0.0,0.0,0.0,0.0,0,0,205,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002018,23/10/2010,0,0.0,0.0,0.0,0.0,0,0,16,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002018,23/10/2010,0,0.0,0.0,0.0,0.0,0,0,1751,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002018,23/10/2010,0,0.0,0.0,0.0,0.0,0,0,242,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002018,23/10/2010,0,0.0,0.0,0.0,0.0,0,0,1208,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002018,23/10/2010,0,0.0,0.0,0.0,0.0,0,0,22,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002015,1/10/2010,0,1.0,0.0,0.0,0.0,1,0,5,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002036,10/10/2010,0,0.0,0.0,0.0,0.0,0,0,860,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002036,10/10/2010,0,0.0,0.0,0.0,0.0,0,0,2875,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002036,10/10/2010,0,0.0,0.0,0.0,0.0,0,0,2250,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002036,10/10/2010,0,0.0,0.0,0.0,0.0,0,0,25,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002036,10/10/2010,0,0.0,0.0,0.0,0.0,0,0,25,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002036,10/10/2010,0,0.0,0.0,0.0,0.0,0,0,20,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002036,10/10/2010,0,0.0,0.0,0.0,0.0,0,0,225,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002036,10/10/2010,0,0.0,0.0,0.0,0.0,0,0,780,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002036,10/10/2010,0,0.0,0.0,0.0,0.0,0,0,50,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002036,10/10/2010,0,0.0,0.0,0.0,0.0,0,0,400,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002036,10/10/2010,0,0.0,0.0,0.0,0.0,0,0,50,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002036,10/10/2010,0,0.0,0.0,0.0,0.0,0,0,1250,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002036,23/10/2010,0,0.0,0.0,0.0,0.0,0,0,1200,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002036,23/10/2010,0,0.0,0.0,0.0,0.0,0,0,1500,0,0,0,0,0,0,0.0,0,0
FL2010,FLOOD,lka001,lka001002,lka001002036,23/10/2010,0,0.0,0.0,0.0,0.0,0,0,1750,0,0,0,0,0,0,0.0,0,0
